pos	info
0	0.004511654376983643
1	0.00036602094769477844
2	2.7725647669285536e-05
3	0.043867528438568115
4	0.0015697292983531952
5	0.0011842940002679825
6	0.00028153322637081146
7	2.943514846265316e-05
8	0.00822785496711731
9	0.004352957010269165
10	0.0005642399191856384
11	0.018012642860412598
12	1.2007571058347821e-05
13	6.1954124248586595e-06
14	2.1546788047999144e-05
15	1.4210854715202004e-14
16	0.0005875956267118454
17	0.00031384266912937164
18	1.6070589481387287e-06
19	0.01172947883605957
20	8.47560295369476e-06
21	7.616608854732476e-08
22	0.040119946002960205
23	0.0
24	0.04536527395248413
25	0.0005322378128767014
26	0.056164324283599854
27	0.0003827884793281555
28	4.542648093774915e-05
29	0.0034733712673187256
30	0.0006733983755111694
31	3.844317689072341e-06
32	0.0008505918085575104
33	8.44172973302193e-07
34	0.02713388204574585
35	9.550829418003559e-05
36	0.0012269988656044006
37	1.4210854715202004e-14
38	0.007177092134952545
39	2.3429929569829255e-06
40	0.010518945753574371
41	0.011667728424072266
42	1.8680452740227338e-08
43	9.363047865917906e-07
44	0.0002865055575966835
45	0.0032196044921875
46	0.018959343433380127
47	0.007382899522781372
48	0.00014499505050480366
49	2.1866344468435273e-06
50	0.03136646747589111
51	0.00025598378852009773
52	1.0917632607743144e-05
53	0.066937655210495
54	-8.470237844449002e-09
55	0.022259891033172607
56	0.00025912094861268997
57	0.0024185404181480408
58	1.042502117343247e-05
59	0.0005035316571593285
60	0.032753825187683105
61	3.4164258977398276e-07
62	0.013431787490844727
63	0.027575254440307617
64	0.0004458427429199219
65	1.0798496077768505e-05
66	1.958842040039599e-05
67	0.00401073694229126
68	0.014826595783233643
69	0.0004915092140436172
70	0.004005402326583862
71	0.004281193017959595
72	2.5859626475721598e-05
73	0.00011353101581335068
74	0.010284632444381714
75	1.3504992239177227e-05
76	0.001200743019580841
77	9.131435945164412e-07
78	0.000157573027536273
79	0.00025093648582696915
80	5.206512287259102e-05
81	0.023394092917442322
82	0.018627405166625977
83	1.7849970390670933e-09
84	0.0551379919052124
85	0.006135225296020508
86	0.0026602521538734436
87	0.00014265975914895535
88	2.456192760291742e-08
89	2.6119465474039316e-05
90	0.01645791530609131
91	0.03306645154953003
92	0.0
93	1.7104903236031532e-05
94	0.013952791690826416
95	0.020887255668640137
96	5.525987944565713e-06
97	0.011597633361816406
98	0.030037522315979004
99	7.488684786949307e-06
100	1.3646626939589623e-07
101	4.725283361040056e-06
102	0.016423463821411133
103	0.0018989406526088715
104	0.0
105	0.0026152655482292175
106	0.008407577872276306
107	0.03969484567642212
108	2.7434762159828097e-06
109	9.197479812428355e-06
110	0.0007086344994604588
111	1.394932041876018e-06
112	0.0005925381556153297
113	0.07561516761779785
114	4.248772711434867e-07
115	1.4210854715202004e-14
116	0.00011469284072518349
117	-1.4210854715202004e-14
118	0.0
119	4.9278696678811684e-09
120	0.0187644362449646
121	0.019332408905029297
122	-6.608274816244375e-09
123	0.0009604115039110184
124	0.00021279510110616684
125	0.03596097230911255
126	0.0
127	0.000335020013153553
128	0.020560503005981445
129	2.151580247300444e-09
130	0.03403294086456299
131	8.337467443197966e-05
132	0.025331854820251465
